split,generator,synthetic_file,source,classifier,size_multiplier,n_train_rows,n_synthetic_available,pcd,js,ws,accuracy,auc,sensitivity,specificity,precision,f1,brier
0,COPULA,16.csv,synthetic,mlp,1.0,614,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.6558441558441559,0.497037037037037,0.037037037037037035,0.99,0.6666666666666666,0.07017543859649122,0.31390807623504197
0,COPULA,16.csv,synthetic,xgb,1.0,614,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.7207792207792207,0.7581481481481482,0.5185185185185185,0.83,0.6222222222222222,0.5656565656565656,0.1953570544719696
0,COPULA,16.csv,synthetic,rfc,1.0,614,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.7402597402597403,0.7711111111111111,0.5185185185185185,0.86,0.6666666666666666,0.5833333333333334,0.18283948425342664
0,COPULA,16.csv,synthetic,lr,2.0,1228,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.5324675324675324,0.5020370370370371,0.37037037037037035,0.62,0.3448275862068966,0.35714285714285715,0.38029894676451015
0,COPULA,16.csv,synthetic,mlp,2.0,1228,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.6623376623376623,0.5087037037037037,0.09259259259259259,0.97,0.625,0.16129032258064516,0.30090026755709753
0,COPULA,16.csv,synthetic,xgb,2.0,1228,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.7012987012987013,0.7783333333333332,0.48148148148148145,0.82,0.5909090909090909,0.5306122448979592,0.18185751140117645
0,COPULA,16.csv,synthetic,rfc,2.0,1228,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.7142857142857143,0.768888888888889,0.5,0.83,0.6136363636363636,0.5510204081632653,0.18095707284210868
0,COPULA,16.csv,synthetic,lr,3.0,1842,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.5324675324675324,0.47962962962962963,0.37037037037037035,0.62,0.3448275862068966,0.35714285714285715,0.4161068732448769
0,COPULA,16.csv,synthetic,mlp,3.0,1842,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.6688311688311688,0.4955555555555555,0.09259259259259259,0.98,0.7142857142857143,0.16393442622950818,0.3116961568300668
0,COPULA,16.csv,synthetic,xgb,3.0,1842,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.6948051948051948,0.7746296296296296,0.4074074074074074,0.85,0.5945945945945946,0.4835164835164835,0.18336394429206848
0,COPULA,16.csv,synthetic,rfc,3.0,1842,42300,1.3114091301127329,0.4236854355391359,0.1230908435825702,0.7142857142857143,0.7683333333333333,0.46296296296296297,0.85,0.625,0.5319148936170213,0.18184845861613347
0,COPULA,17.csv,synthetic,lr,1.0,614,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.512987012987013,0.4859259259259259,0.42592592592592593,0.56,0.34328358208955223,0.38016528925619836,0.42737991142451415
0,COPULA,17.csv,synthetic,mlp,1.0,614,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.6558441558441559,0.4994444444444444,0.12962962962962962,0.94,0.5384615384615384,0.208955223880597,0.3020952979054877
0,COPULA,17.csv,synthetic,xgb,1.0,614,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.7142857142857143,0.8201851851851852,0.8333333333333334,0.65,0.5625,0.6716417910447762,0.197835773229599
0,COPULA,17.csv,synthetic,rfc,1.0,614,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.7142857142857143,0.8077777777777777,0.7777777777777778,0.68,0.5675675675675675,0.65625,0.19256268626774004
0,COPULA,17.csv,synthetic,lr,2.0,1228,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.5064935064935064,0.4674074074074075,0.4074074074074074,0.56,0.3333333333333333,0.36666666666666664,0.4549387235584882
0,COPULA,17.csv,synthetic,mlp,2.0,1228,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.6493506493506493,0.48666666666666664,0.07407407407407407,0.96,0.5,0.12903225806451613,0.30710177555064944
0,COPULA,17.csv,synthetic,xgb,2.0,1228,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.7077922077922078,0.8064814814814816,0.7407407407407407,0.69,0.5633802816901409,0.64,0.18579450249671936
0,COPULA,17.csv,synthetic,rfc,2.0,1228,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.6883116883116883,0.7922222222222222,0.7592592592592593,0.65,0.5394736842105263,0.6307692307692307,0.1929068780439518
0,COPULA,17.csv,synthetic,lr,3.0,1842,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.5909090909090909,0.6164814814814814,0.5,0.64,0.42857142857142855,0.46153846153846156,0.2744323023055929
0,COPULA,17.csv,synthetic,mlp,3.0,1842,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.6493506493506493,0.4905555555555556,0.07407407407407407,0.96,0.5,0.12903225806451613,0.3014732578290251
0,COPULA,17.csv,synthetic,xgb,3.0,1842,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.7012987012987013,0.804074074074074,0.7407407407407407,0.68,0.5555555555555556,0.6349206349206349,0.18635064363479614
0,COPULA,17.csv,synthetic,rfc,3.0,1842,42300,1.193470438972931,0.4397270086409919,0.1060865718499206,0.7077922077922078,0.7946296296296297,0.7777777777777778,0.67,0.56,0.6511627906976745,0.19184675431406395
0,COPULA,18.csv,synthetic,lr,1.0,614,42300,1.4485899300792575,0.4457904921104414,0.1321934150363025,0.5909090909090909,0.6442592592592592,0.6666666666666666,0.55,0.4444444444444444,0.5333333333333333,0.34876456501223024
